step,t_sec,agent_1_speed,agent_2_speed,agent_3_speed,agent_4_speed,agent_5_speed,agent_6_speed,agent_7_speed,agent_8_speed
22,1.1,0.742929,0.681580,0.471463,0.231187,0.737755,0.721233,0.436150,0.676385
23,1.1500000000000001,0.742256,0.679730,0.510571,0.884262,0.690719,0.705592,0.246062,0.693850
24,1.2000000000000002,0.743424,0.689896,0.794190,0.183082,0.693745,0.721287,0.884834,0.653156
25,1.25,0.742613,0.683322,0.716453,0.897740,0.677615,0.693701,0.005239,0.644032
26,1.3,0.743893,0.693775,0.126218,0.305257,0.674506,0.695967,0.941617,0.615523
27,1.35,0.743252,0.687916,0.890427,0.864346,0.662351,0.681625,0.689834,0.582879
28,1.4000000000000001,0.742619,0.686455,0.675585,0.714994,0.590898,0.658568,0.751782,0.562183
29,1.4500000000000002,0.808185,0.695075,0.744114,0.759727,0.588289,0.629570,0.740627,0.549537
30,1.5,0.473793,0.697469,0.724221,0.746721,0.494556,0.614021,0.741023,0.472217
31,1.55,0.565690,0.702340,0.772619,0.748259,0.392771,0.569553,0.828162,0.454367
32,1.6,0.568869,0.706414,0.694295,0.088755,0.280465,0.558171,0.730881,0.821821
33,1.6500000000000001,0.675332,0.707773,0.717258,0.373989,0.331889,0.629567,0.738891,0.722064
34,1.7000000000000002,0.621351,0.707968,0.716938,0.257098,0.217334,0.639506,0.748977,0.750519
35,1.75,0.634897,0.709805,0.717695,0.263088,0.193674,0.684877,0.740808,0.741620
36,1.8,0.671913,0.708727,0.716599,0.394348,0.040449,0.814660,0.740148,0.742170
37,1.85,0.636097,0.754113,0.742730,0.829783,0.928932,0.680591,0.746317,0.740053
38,1.9000000000000001,0.626304,0.732805,0.719851,0.708016,0.576274,0.708597,0.749936,0.713862
39,1.9500000000000002,0.666602,0.741037,0.729811,0.748673,0.788401,0.707651,0.745926,0.721220
40,2.0,0.637933,0.732089,0.725219,0.739846,0.734112,0.705080,0.749834,0.719684
41,2.0500000000000003,0.639848,0.574999,0.723399,0.743727,0.748690,0.761421,0.746335,0.714011
42,2.1,0.629277,0.627544,0.724966,0.745559,0.743907,0.746401,0.748492,0.705128
43,2.15,0.654033,0.636635,0.719247,0.744669,0.748294,0.749356,0.745431,0.709959
44,2.2,0.637556,0.628487,0.711775,0.746641,0.747072,0.749638,0.742245,0.690515
45,2.25,0.632132,0.624776,0.714128,0.746480,0.750291,0.748827,0.743887,0.672637
46,2.3000000000000003,0.621537,0.649469,0.702933,0.746502,0.749460,0.749653,0.739869,0.663411
47,2.35,0.612689,0.634909,0.690889,0.747185,0.748788,0.748890,0.736692,0.628142
48,2.4000000000000004,0.633996,0.632824,0.694067,0.746248,0.751592,0.747805,0.738051,0.578493
49,2.45,0.607400,0.654241,0.674503,0.747018,0.750556,0.748441,0.735604,0.585663
50,2.5,0.600248,0.640685,0.654404,0.746326,0.753116,0.747573,0.733377,0.515482
51,2.5500000000000003,0.614453,0.638198,0.661312,0.747290,0.752384,0.748091,0.738093,0.449779
52,2.6,0.575863,0.656281,0.631625,0.746711,0.750905,0.747152,0.739867,0.376430
53,2.6500000000000004,0.541772,0.644232,0.605392,0.745699,0.750071,0.746185,0.746310,0.423342
54,2.7,0.605455,0.641265,0.630463,0.746537,0.748429,0.711541,0.745866,0.353571
55,2.75,0.533037,0.775448,0.593204,0.745765,0.749863,0.716923,0.748528,0.350212
56,2.8000000000000003,0.514436,0.738089,0.571286,0.746300,0.748481,0.718534,0.751319,0.347603
57,2.85,0.473652,0.748342,0.551018,0.746244,0.746571,0.724154,0.749102,0.460682
58,2.9000000000000004,0.550571,0.745229,0.602083,0.747044,0.440609,0.722399,0.752436,0.425537
59,2.95,0.484378,0.746492,0.510615,0.746564,0.831251,0.722388,0.748579,0.459984
60,3.0,0.816693,0.746149,0.577367,0.745570,0.319567,0.725925,0.758826,0.465130
61,3.0500000000000003,0.398376,0.745094,0.542795,0.746580,0.861758,0.724176,0.755587,0.824606
62,3.1,0.840305,0.746193,0.599737,0.745799,0.330268,0.720813,0.752990,0.400014
63,3.1500000000000004,0.313951,0.745653,0.485393,0.746631,0.858994,0.726641,0.751893,0.842926
64,3.2,0.863027,0.744976,0.592979,0.746111,0.244358,0.721090,0.754891,0.379006
65,3.25,0.337023,0.725876,0.518804,0.745228,0.883679,0.727772,0.750318,0.848127
66,3.3000000000000003,0.849426,0.409699,0.599875,0.750447,0.576496,0.721830,0.753342,0.717384
67,3.35,0.718792,0.829133,0.521407,0.748818,0.660143,0.720903,0.751084,0.755412
68,3.4000000000000004,0.753672,0.701798,0.558952,0.748309,0.626330,0.723944,0.752440,0.745060
69,3.45,0.744896,0.743824,0.590192,0.748200,0.584160,0.721010,0.750902,0.748829
70,3.5,0.749303,0.730855,0.556832,0.748118,0.518945,0.719155,0.750066,0.747699
71,3.5500000000000003,0.748033,0.738817,0.547810,0.748150,0.559627,0.722859,0.750636,0.746985
72,3.6,0.747577,0.734792,0.593252,0.747114,0.480723,0.719165,0.749906,0.747918
73,3.6500000000000004,0.746816,0.147067,0.538180,0.747676,0.434664,0.717314,0.750615,0.747207
74,3.7,0.746884,0.975198,0.508255,0.747353,0.288261,0.721198,0.750096,0.748250
75,3.75,0.746191,0.674707,0.566242,0.747803,0.517209,0.717713,0.749207,0.747641
76,3.8000000000000003,0.748233,0.757344,0.534275,0.815898,0.329753,0.713182,0.749929,0.748919
77,3.85,0.748293,0.737640,0.805709,0.244170,0.400746,0.673798,0.753068,0.748034
78,3.9000000000000004,0.748559,0.745257,0.731309,0.582300,0.339997,0.654635,0.750761,0.747392
79,3.95,0.749442,0.056057,0.181064,0.438720,0.855431,0.648875,0.750841,0.748328
80,4.0,0.746256,0.955841,0.899083,0.370314,0.058372,0.655804,0.750518,0.747735
81,4.05,0.747533,0.692295,0.090110,0.600193,0.958650,0.627734,0.750690,0.748487
82,4.1000000000000005,0.748782,0.763733,0.967033,0.177346,0.108994,0.621716,0.749477,0.748095
83,4.15,0.748277,0.744276,0.056181,0.651245,0.918379,0.617164,0.749946,0.747130
84,4.2,0.749557,0.752038,0.930068,0.271122,0.280348,0.620925,0.749564,0.748094
85,4.25,0.748861,0.309611,0.082930,0.662452,0.874762,0.557557,0.750001,0.747498
86,4.3,0.745272,0.868638,0.923965,0.227989,0.112569,0.640614,0.710254,0.748372
87,4.3500000000000005,0.748515,0.336080,0.062787,0.652141,0.918960,0.537472,0.716394,0.752256
88,4.4,0.392222,0.863114,0.930117,0.180909,0.070788,0.593491,0.712764,0.756216
89,4.45,0.844981,0.284844,0.109132,0.704201,0.929737,0.479676,0.721674,0.747260
90,4.5,0.719546,0.875999,0.918407,0.253336,0.138148,0.628532,0.714145,0.755598
91,4.55,0.754281,0.354196,0.081205,0.878076,0.912036,0.483312,0.714527,0.746523
92,4.6000000000000005,0.474276,0.855576,0.926887,0.075292,0.132974,0.623893,0.718152,0.755131
93,4.65,0.821281,0.351751,0.129920,0.924835,0.913142,0.540263,0.715751,0.745946
94,4.7,0.485166,0.855354,0.914853,0.186670,0.700281,0.611418,0.707852,0.765269
95,4.75,0.823612,0.717619,0.320217,0.895691,0.759297,0.511577,0.713452,0.730017
96,4.800000000000001,0.731016,0.756037,0.864314,0.305687,0.403750,0.693140,0.704612,0.738757
97,4.8500000000000005,0.759909,0.743160,0.204263,0.865435,0.840911,0.531930,0.699741,0.742756
98,4.9,0.746645,0.748468,0.894454,0.198552,0.358387,0.660889,0.707061,0.737939
99,4.95,0.754912,0.459037,0.236455,0.893971,0.853830,0.526680,0.699572,0.738657
100,5.0,0.745535,0.824911,0.885913,0.245207,0.332208,0.657683,0.697326,0.741203
101,5.050000000000001,0.754559,0.471211,0.178170,0.883050,0.859833,0.479912,0.704989,0.738642
102,5.1000000000000005,0.701942,0.821794,0.900980,0.258105,0.379076,0.649113,0.699830,0.740962
103,5.15,0.631436,0.731101,0.259760,0.880636,0.847260,0.498063,0.696286,0.765273
104,5.2,0.652698,0.761296,0.879568,0.216392,0.716653,0.659648,0.701506,0.757159
105,5.25,0.675241,0.745151,0.708589,0.891445,0.755327,0.408121,0.697604,0.758984
106,5.300000000000001,0.661165,0.751544,0.757898,0.336083,0.744646,0.694970,0.694305,0.757983
107,5.3500000000000005,0.658195,0.748950,0.742041,0.858971,0.748546,0.483539,0.696380,0.758404
108,5.4,0.691404,0.750115,0.748560,0.714867,0.747308,0.642102,0.691791,0.757683
109,5.45,0.673099,0.749632,0.746853,0.755067,0.746650,0.608106,0.694809,0.756648
110,5.5,0.670358,0.748725,0.748503,0.414486,0.747804,0.618288,0.690885,0.756987
111,5.550000000000001,0.697483,0.691093,0.469115,0.835981,0.747096,0.539706,0.687923,0.756406
112,5.6000000000000005,0.682327,0.324134,0.822731,0.358521,0.752682,0.801141,0.577458,0.755230
113,5.65,0.678332,0.517525,0.482147,0.851964,0.754846,0.733752,0.591613,0.755751
114,5.7,0.702248,0.378682,0.819711,0.719549,0.747232,0.750246,0.550591,0.754760
115,5.75,0.688223,0.436693,0.727255,0.755526,0.750961,0.745059,0.568491,0.753446
116,5.800000000000001,0.684710,0.828802,0.753512,0.744897,0.748628,0.744924,0.581312,0.751909
117,5.8500000000000005,0.704937,0.719292,0.746107,0.748967,0.749481,0.746558,0.568080,0.752156
118,5.9,0.692704,0.750300,0.749029,0.747466,0.748999,0.746549,0.527427,0.751209
119,5.95,0.689159,0.202275,0.748052,0.748931,0.750537,0.747923,0.591786,0.749687
120,6.0,0.649554,0.894993,0.753326,0.748049,0.672271,0.389009,0.444918,0.749613
121,6.050000000000001,0.656917,0.697913,0.754798,0.744870,0.689741,0.843850,0.572113,0.748627
122,6.1000000000000005,0.670868,0.759205,0.748249,0.747745,0.702620,0.721556,0.542806,0.746211
123,6.15,0.662280,0.739343,0.751237,0.746671,0.692154,0.755133,0.548482,0.746864
124,6.2,0.658689,0.310970,0.749861,0.747596,0.687026,0.745119,0.535055,0.745271
125,6.25,0.769001,0.865610,0.749266,0.747153,0.705875,0.437701,0.500246,0.625732
126,6.300000000000001,0.599568,0.271694,0.753214,0.493354,0.697610,0.831759,0.597674,0.646660
127,6.3500000000000005,0.785761,0.879954,0.746179,0.816665,0.685496,0.387023,0.427017,0.635471
128,6.4,0.599418,0.319522,0.871078,0.443134,0.711462,0.845569,0.610202,0.635112
129,6.45,0.789062,0.867311,0.683525,0.838582,0.669538,0.323681,0.481762,0.636167
130,6.5,0.737364,0.233929,0.741215,0.723740,0.671406,0.861674,0.619918,0.604740
131,6.550000000000001,0.751900,0.887768,0.731676,0.762009,0.670531,0.712740,0.411856,0.613743
132,6.6000000000000005,0.747394,0.712218,0.731568,0.743786,0.623825,0.755926,0.625304,0.620532
133,6.65,0.749248,0.757286,0.728975,0.750998,0.586220,0.744907,0.520974,0.618058
134,6.7,0.748111,0.481883,0.737279,0.748829,0.591722,0.747845,0.570094,0.589130
135,6.75,0.746658,0.819271,0.732110,0.752911,0.500509,0.746126,0.546603,0.788578
136,6.800000000000001,0.749206,0.435635,0.734144,0.746830,0.459255,0.747246,0.593798,0.521544
137,6.8500000000000005,0.747347,0.831096,0.740099,0.788477,0.406120,0.484928,0.497907,0.809210
138,6.9,0.737593,0.412910,0.744117,0.672556,0.401503,0.826072,0.811302,0.504175
139,6.95,0.743332,0.835909,0.745986,0.689133,0.383241,0.728932,0.424436,0.813280
140,7.0,0.740840,0.495123,0.750294,0.676495,0.507352,0.759996,0.832160,0.494557
141,7.050000000000001,0.744240,0.814334,0.748256,0.644792,0.439723,0.745692,0.452865,0.817121
142,7.1000000000000005,0.744297,0.726318,0.747958,0.612988,0.467378,0.753384,0.825548,0.444614
143,7.15,0.742407,0.751667,0.750216,0.603487,0.466612,0.747021,0.467923,0.830140
144,7.2,0.746165,0.522714,0.745121,0.534211,0.476001,0.753070,0.822867,0.725200
145,7.25,0.745699,0.807513,0.748817,0.483599,0.482813,0.746025,0.726524,0.754293
146,7.300000000000001,0.748512,0.729664,0.498190,0.422415,0.564626,0.686859,0.751424,0.746241
147,7.3500000000000005,0.749096,0.758662,0.581287,0.457743,0.447756,0.748897,0.746187,0.747471
148,7.4,0.747920,0.749019,0.528983,0.816772,0.492491,0.732680,0.747040,0.748082
149,7.45,0.748255,0.750256,0.491757,0.713562,0.436436,0.739905,0.747997,0.747382
150,7.5,0.749251,0.749667,0.426768,0.744255,0.509769,0.734986,0.747351,0.748338
151,7.550000000000001,0.747789,0.749447,0.504038,0.009619,0.422785,0.728813,0.748395,0.747733
152,7.6000000000000005,0.747573,0.749635,0.330549,0.946936,0.806382,0.739992,0.747824,0.748784
153,7.65,0.747196,0.749482,0.456373,0.682713,0.109196,0.714863,0.746865,0.748214
154,7.7,0.749312,0.748442,0.350952,0.758411,0.893829,0.741049,0.747952,0.747370
155,7.75,0.747344,0.918077,0.445900,0.738907,0.664921,0.710435,0.747226,0.748447
156,7.800000000000001,0.749102,0.591095,0.392307,0.092129,0.721828,0.718315,0.754471,0.747553
157,7.8500000000000005,0.745672,0.688028,0.183629,0.969162,0.083985,0.698887,0.750491,0.748768
158,7.9,0.748363,0.640652,0.894554,0.684085,0.857828,0.726878,0.750321,0.748148
159,7.95,0.748867,0.674578,0.703935,0.752760,0.591110,0.698556,0.749757,0.747343
160,8.0,0.749337,0.647074,0.231973,0.743196,0.614700,0.698723,0.749590,0.748152
161,8.05,0.749556,0.666963,0.880067,0.757680,0.601391,0.680519,0.749629,0.747621
162,8.1,0.748643,0.650926,0.706825,0.743797,0.522150,0.681288,0.749597,0.748407
163,8.15,0.749783,0.639904,0.756031,0.756055,0.431914,0.667301,0.748634,0.748020
164,8.200000000000001,0.749051,0.647156,0.741143,0.748459,0.431078,0.685613,0.806122,0.747085
165,8.25,0.750071,0.621795,0.744901,0.754749,0.311700,0.681682,0.683882,0.753064
166,8.3,0.749664,0.593699,0.743478,0.749542,0.268478,0.704118,0.721590,0.749597
167,8.35,0.748672,0.625061,0.745559,0.749402,0.235960,0.723729,0.716010,0.750296
168,8.4,0.749539,0.558164,0.744940,0.750916,0.315260,0.731084,0.717000,0.749826
169,8.450000000000001,0.748904,0.555175,0.746915,0.748682,0.367389,0.738257,0.714308,0.748808
170,8.5,0.749843,0.579746,0.746419,0.750211,0.346841,0.261286,0.718267,0.749149
171,8.55,0.749295,0.488867,0.746145,0.748469,0.147480,1.000000,0.715380,0.748892
172,8.6,0.750285,0.446914,0.746476,0.749664,0.385356,0.771422,0.715123,0.882266
173,8.65,0.754007,0.828376,0.330399,0.748730,0.858241,0.340417,0.765305,0.705153
174,8.700000000000001,0.754582,0.724958,0.536775,0.284864,0.728028,0.607236,0.746995,0.758222
175,8.75,0.751398,0.753958,0.372931,0.873912,0.768988,0.490156,0.751585,0.743261
176,8.8,0.753619,0.746251,0.591852,0.338586,0.755440,0.629305,0.750494,0.746567
177,8.85,0.749010,0.748951,0.341121,0.857863,0.757522,0.574851,0.749957,0.515614
178,8.9,0.753501,0.747467,0.594405,0.715251,0.758334,0.590167,0.751005,0.810233
179,8.950000000000001,0.749842,0.747659,0.527914,0.458812,0.755042,0.629260,0.750567,0.394535
180,9.0,0.781506,0.441978,0.487170,0.823263,0.751637,0.604120,0.749001,0.844232
181,9.05,0.287837,0.831545,0.815282,0.730332,0.744533,0.787729,0.743577,0.354478
182,9.1,0.582228,0.408849,0.467543,0.760026,0.732628,0.737264,0.744321,0.852847
183,9.15,0.452086,0.840823,0.822227,0.745157,0.740822,0.751581,0.742501,0.377972
184,9.200000000000001,0.622416,0.723884,0.722537,0.755276,0.723652,0.745044,0.744480,0.846741
185,9.25,0.558123,0.754565,0.752753,0.746137,0.712797,0.747819,0.741327,0.719010
186,9.3,0.626198,0.745391,0.744413,0.750554,0.709928,0.445370,0.744044,0.755193
187,9.35,0.579586,0.746531,0.747944,0.748690,0.678196,0.830502,0.739942,0.744991
188,9.4,0.636621,0.746648,0.746830,0.714362,0.640064,0.726920,0.735979,0.748928
189,9.450000000000001,0.605762,0.747600,0.755021,0.711024,0.636811,0.753598,0.740962,0.747407
190,9.5,0.658632,0.746962,0.750639,0.715217,0.560413,0.507649,0.736499,0.746907
191,9.55,0.582205,0.474301,0.750456,0.721628,0.502167,0.813988,0.735360,0.748023
192,9.600000000000001,0.635456,0.821876,0.753523,0.718464,0.438084,0.382502,0.742875,0.745289
193,9.65,0.591007,0.421111,0.748107,0.716764,0.420883,0.845789,0.747132,0.747714
194,9.700000000000001,0.645188,0.836671,0.754618,0.725242,0.480470,0.303094,0.749242,0.488625
195,9.75,0.516784,0.397986,0.746563,0.719641,0.492015,0.865746,0.769690,0.816515
196,9.8,0.683850,0.841547,0.753447,0.645380,0.813481,0.335494,0.746533,0.496204
197,9.850000000000001,0.536230,0.431863,0.932106,0.676279,0.729318,0.856972,0.751033,0.814744
198,9.9,0.804922,0.832500,0.439089,0.653869,0.754207,0.384325,0.708392,0.733577
199,9.950000000000001,0.431224,0.720713,0.643262,0.655888,0.747503,0.845158,0.718078,0.759341
200,10.0,0.641941,0.753858,0.574944,0.683933,0.747738,0.718087,0.695570,0.745990
201,10.05,0.547355,0.744723,0.602591,0.668132,0.746709,0.753711,0.678251,0.751030
202,10.100000000000001,0.801451,0.748124,0.560058,0.695011,0.748257,0.481799,0.668136,0.748978
203,10.15,0.397155,0.519828,0.596585,0.681057,0.746742,0.818023,0.649785,0.753104
204,10.200000000000001,0.839869,0.808282,0.557098,0.678065,0.745653,0.443291,0.659191,0.746671
205,10.25,0.406776,0.728261,0.792624,0.694361,0.743798,0.828664,0.622633,0.752455
206,10.3,0.838106,0.751119,0.495069,0.683730,0.745132,0.723225,0.624002,0.735163
207,10.350000000000001,0.434779,0.752159,0.812628,0.648159,0.737521,0.752946,0.607947,0.721139
208,10.4,0.831991,0.754570,0.434046,0.676650,0.741334,0.503482,0.600623,0.720792
209,10.450000000000001,0.425106,0.746562,0.831044,0.660591,0.735617,0.813411,0.503637,0.724472
210,10.5,0.833624,0.754144,0.439067,0.655315,0.736435,0.726415,0.574913,0.713809
211,10.55,0.721524,0.746810,0.829020,0.647917,0.740388,0.752401,0.471182,0.708554
212,10.600000000000001,0.753125,0.750379,0.723032,0.641243,0.736804,0.745327,0.560461,0.709697
213,10.65,0.745836,0.748997,0.751106,0.662383,0.735002,0.746094,0.797509,0.696275
214,10.700000000000001,0.747644,0.748393,0.745271,0.647958,0.735404,0.746988,0.732391,0.687026
215,10.75,0.746258,0.793343,0.747165,0.643309,0.733802,0.746344,0.750392,0.686024
216,10.8,0.747786,0.632029,0.746025,0.777045,0.731244,0.754514,0.744358,0.656611
217,10.850000000000001,0.746828,0.684797,0.747609,0.736480,0.735092,0.750312,0.746433,0.627217
218,10.9,0.748134,0.686508,0.746999,0.746557,0.734656,0.750018,0.744942,0.627511
219,10.950000000000001,0.747438,0.678948,0.748001,0.741541,0.736802,0.749712,0.744051,0.559664
220,11.0,0.748424,0.672466,0.747695,0.743425,0.737331,0.749437,0.746370,0.521240
221,11.05,0.747911,0.665172,0.746839,0.604249,0.737016,0.749570,0.743604,0.452748
222,11.100000000000001,0.746848,0.642894,0.747922,0.666595,0.741470,0.749533,0.748885,0.462147
223,11.15,0.748001,0.672052,0.747480,0.618741,0.742606,0.748406,0.755475,0.387855
224,11.200000000000001,0.747280,0.644031,0.748499,0.591513,0.745969,0.792682,0.748168,0.369514
225,11.25,0.753677,0.778501,0.747965,0.599833,0.746017,0.365323,0.756223,0.349848
226,11.3,0.749886,0.743663,0.747134,0.539197,0.230761,0.548798,0.750570,0.342108
227,11.350000000000001,0.749657,0.752180,0.748126,0.497711,0.885303,0.462538,0.755253,0.185052
228,11.4,0.749421,0.748641,0.747400,0.413385,0.209085,0.580271,0.749883,0.898501
229,11.450000000000001,0.749308,0.748829,0.748248,0.580073,0.889562,0.521975,0.748190,0.236537
230,11.5,0.749565,0.747786,0.747695,0.364731,0.704544,0.535155,0.750055,1.000000
231,11.55,0.749494,0.247956,0.748646,0.497812,0.756286,0.524090,0.748610,0.673178
232,11.600000000000001,0.748609,0.881639,0.748200,0.376736,0.744726,0.487276,0.749638,0.764277
233,11.65,0.856886,0.246296,0.747303,0.478560,0.748070,0.597295,0.748486,0.739385
234,11.700000000000001,0.672556,0.882616,0.754178,0.442329,0.746662,0.402809,0.747437,0.747311
235,11.75,0.736866,0.166833,0.750253,0.828371,0.748056,0.608950,0.748486,0.743045
236,11.8,0.717233,0.902448,0.750967,0.343558,0.747583,0.457965,0.747677,0.744135
237,11.850000000000001,0.731023,0.195250,0.750382,0.856968,0.748789,0.620515,0.748456,0.210683
238,11.9,0.713745,0.893789,0.749289,0.101269,0.366417,0.419404,0.748025,0.897613
239,11.950000000000001,0.742893,0.210269,0.754093,0.920738,0.851342,0.620444,0.473979,0.110362
240,12.0,0.716621,0.889776,0.745827,0.085713,0.309566,0.484046,0.822672,0.920561
241,12.05,0.744024,0.111889,0.737656,0.925684,0.866382,0.621158,0.724488,0.187391
242,12.100000000000001,0.701010,0.916084,0.720428,0.052240,0.360560,0.492665,0.765116,0.903671
243,12.15,0.708807,0.123371,0.727596,0.934792,0.853356,0.697703,0.742964,0.269379
244,12.200000000000001,0.728568,0.914007,0.729986,0.044279,0.716864,0.486409,0.757536,0.882289
245,12.25,0.723959,0.032067,0.728020,0.936926,0.755038,0.669470,0.746365,0.712598
246,12.3,0.713294,0.938577,0.726610,0.229770,0.745385,0.467385,0.750359,0.760945
247,12.350000000000001,0.715916,0.167180,0.730224,0.888294,0.747814,0.664435,0.748934,0.439149
248,12.4,0.715448,0.903915,0.726047,0.707712,0.745841,0.424421,0.753093,0.832693
249,12.450000000000001,0.712233,0.326468,0.725000,0.756850,0.747177,0.648153,0.747627,0.726771
250,12.5,0.704435,0.863543,0.727090,0.403226,0.747912,0.523217,0.808535,0.754742
251,12.55,0.758114,0.304655,0.700325,0.840688,0.758142,0.630008,0.729133,0.743418
252,12.600000000000001,0.743163,0.868519,0.692833,0.720490,0.747789,0.455806,0.753358,0.748625
253,12.65,0.747050,0.714561,0.693340,0.754354,0.751773,0.658317,0.750922,0.746768
254,12.700000000000001,0.743425,0.755546,0.673140,0.744455,0.749636,0.561611,0.752158,0.747910
255,12.75,0.745348,0.442142,0.650793,0.748244,0.750379,0.595975,0.751523,0.747404
256,12.8,0.743716,0.829890,0.658563,0.431550,0.750009,0.564210,0.755002,0.748330
257,12.850000000000001,0.649310,0.282209,0.624435,0.832425,0.752868,0.621349,0.753547,0.484113
258,12.9,0.671727,0.871523,0.595586,0.374590,0.793867,0.480973,0.753178,0.818850
259,12.950000000000001,0.647186,0.304334,0.622105,0.847514,0.680077,0.666914,0.752266,0.732584
260,13.0,0.769129,0.865547,0.580654,0.469741,0.718055,0.492319,0.753784,0.760520
261,13.05,0.611129,0.373327,0.561139,0.822824,0.714693,0.633202,0.752700,0.745362
262,13.100000000000001,0.659105,0.847276,0.604883,0.723663,0.717679,0.481465,0.751533,0.755573
263,13.15,0.655205,0.716790,0.568787,0.753299,0.718409,0.616759,0.752433,0.746289
264,13.200000000000001,0.650606,0.753582,0.560599,0.745133,0.724354,0.546466,0.751298,0.750657
265,13.25,0.635575,0.481522,0.552555,0.748341,0.723177,0.619433,0.749590,0.748808
266,13.3,0.656692,0.816498,0.617652,0.518806,0.724157,0.536939,0.750343,0.753031
267,13.350000000000001,0.631871,0.445071,0.587381,0.808846,0.727995,0.608988,0.748571,0.856690
268,13.4,0.774694,0.825942,0.792152,0.738517,0.726052,0.564055,0.747194,0.353064
269,13.450000000000001,0.593476,0.513835,0.735329,0.756074,0.731649,0.616095,0.749261,0.610979
270,13.5,0.644318,0.808272,0.752208,0.749798,0.731246,0.545735,0.748430,0.508464
271,13.55,0.637178,0.503527,0.746118,0.752376,0.732427,0.605466,0.749020,0.624846
272,13.600000000000001,0.777256,0.810953,0.745866,0.748927,0.734454,0.574279,0.747949,0.580475
273,13.65,0.556760,0.531945,0.747266,0.751039,0.734298,0.789190,0.746871,0.590620
274,13.700000000000001,0.797364,0.803329,0.530497,0.746514,0.733599,0.525820,0.749025,0.643422
275,13.75,0.503465,0.728683,0.805550,0.751886,0.730226,0.803980,0.747266,0.580760
276,13.8,0.810893,0.749977,0.729668,0.720371,0.736455,0.519998,0.749319,0.631028
277,13.850000000000001,0.728884,0.751490,0.573290,0.740035,0.738788,0.807054,0.747820,0.628936
278,13.9,0.750127,0.750381,0.793073,0.730738,0.738552,0.728738,0.746711,0.637914
279,13.950000000000001,0.745717,0.749243,0.529793,0.744915,0.734788,0.749468,0.748649,0.635397
280,14.0,0.746685,0.749250,0.802137,0.732781,0.732644,0.745205,0.747551,0.601928
281,14.05,0.745298,0.748980,0.728067,0.742063,0.737352,0.745788,0.749087,0.650619
282,14.100000000000001,0.746653,0.749134,0.601506,0.741340,0.730824,0.746657,0.749010,0.620684
283,14.15,0.745670,0.749051,0.783800,0.735142,0.737031,0.745983,0.746680,0.609370
284,14.200000000000001,0.746912,0.748010,0.558440,0.737068,0.729116,0.747163,0.746868,0.643120
285,14.25,0.746174,0.695966,0.795751,0.733583,0.729276,0.746626,0.518108,0.601327
286,14.3,0.571226,0.734033,0.534333,0.734512,0.737748,0.756117,0.809006,0.622481
287,14.350000000000001,0.794555,0.726795,0.800858,0.729776,0.726038,0.747697,0.487632,0.629264
288,14.4,0.730537,0.733468,0.540278,0.728701,0.724755,0.753565,0.815735,0.765510
289,14.450000000000001,0.750250,0.731426,0.801490,0.708535,0.735870,0.747521,0.725686,0.731685
290,14.5,0.744512,0.731802,0.576247,0.722249,0.723061,0.750371,0.750977,0.740904
291,14.55,0.746949,0.734796,0.794783,0.697198,0.731304,0.748055,0.743536,0.741191
