step,t_sec,agent_1_speed,agent_2_speed,agent_3_speed,agent_4_speed,agent_5_speed,agent_6_speed,agent_7_speed,agent_8_speed
1,0.05,0.954709,0.390608,0.729257,0.822235,0.051097,0.114719,0.696607,0.488420
2,0.1,0.688546,0.763465,0.733522,0.657450,0.928349,0.915294,0.283089,0.668024
3,0.15000000000000002,0.750310,0.619422,0.737694,0.709836,0.675568,0.697854,0.728074,0.576112
4,0.2,0.742353,0.673347,0.733261,0.684279,0.746992,0.761320,0.519001,0.641437
5,0.25,0.741004,0.669231,0.740103,0.695279,0.736632,0.745149,0.600162,0.574868
6,0.30000000000000004,0.739948,0.676706,0.738089,0.670472,0.736362,0.747844,0.627668,0.637142
7,0.35000000000000003,0.742484,0.669059,0.737245,0.641850,0.733526,0.745293,0.716604,0.600705
8,0.4,0.740385,0.666604,0.740740,0.644475,0.741678,0.748776,0.677171,0.611516
9,0.45,0.742864,0.662761,0.738691,0.589711,0.737317,0.744995,0.700743,0.634854
10,0.5,0.741231,0.660010,0.737684,0.537251,0.738347,0.748117,0.676312,0.615513
11,0.55,0.743092,0.674597,0.740435,0.474448,0.738704,0.744267,0.664031,0.605971
12,0.6000000000000001,0.741902,0.665724,0.738919,0.515404,0.744874,0.741680,0.679655,0.636770
13,0.65,0.741251,0.680815,0.740482,0.431685,0.743419,0.749068,0.644201,0.755331
14,0.7000000000000001,0.742580,0.671741,0.738436,0.407277,0.743129,0.742008,0.615773,0.724106
15,0.75,0.741722,0.670437,0.737967,0.828443,0.741521,0.739017,0.629728,0.726889
16,0.8,0.742956,0.681254,0.739444,0.249789,0.737777,0.747119,0.590083,0.718986
17,0.8500000000000001,0.742350,0.673868,0.738551,0.874323,0.744292,0.730768,0.485065,0.724520
18,0.9,0.741781,0.686917,0.736969,0.703905,0.736932,0.746362,0.606245,0.710937
19,0.9500000000000001,0.742799,0.679090,0.597262,0.752328,0.740288,0.734336,0.472984,0.706163
20,1.0,0.742268,0.677661,0.596139,0.742740,0.736732,0.730985,0.506001,0.713195
21,1.05,0.743381,0.687869,0.773640,0.745035,0.742092,0.730669,0.448440,0.696023
